@relation responsibilities	

@attribute responsibility string	
@attribute component {Alarm,Presentation,LYR,Server}


@data	
'selects a Field objects from a Hierarchy in the objects browser ',Presentation
'displays the properties to which the User has read access of the selected Field objects in the Work Area ',Presentation
'write access to Property ',Server
'enables " Issue Command " button for those properties for which the User has write access ',Presentation
'write access ',Server
'access to Property ',Server
'selects the " Issue Command " button ',Presentation
'confirms the Command ',Presentation
'selecting the " Send Command " button ',Presentation
'transmits the Command ',Presentation
'Sends a COV notification ',Server
'confirming the success of the Command ',Server
'displays the new Property Value ',Presentation
'prompts the User for the new Value of the Property ',Presentation
'sends notification of Change of Value ',Server
'updates the Property Value in its internal objects model ',Server
'reflect the new Value of the Property ',Presentation
'receives a COV event ',Server
'evaluates Condition of at least one Logical Condition ',LYR
'configured after the Command that is configured in the Reaction of the Logical Condition that evaluated to true ',LYR
'determined the order of execution of the rules ',LYR
'executes all steps of the main success scenario ',LYR
'determined The order of execution of the rules ',LYR
'receives a COV event ',Server
'evaluates Condition of at least one Alarm Rules ',LYR
'persists the Alarms ',Alarm
'access to the associated Alarms Property ',Alarm
'displays Alarm Acknowledgment Request ',Presentation
'displays dialog for all logged in users with read access to the associated Alarms Property ',Presentation
'access to the associated Alarms Property ',Alarm
'executes all steps of the main success scenario ',Alarm
'determined The order of execution of the rules ',LYR
'acknowledges the Alarms ',Alarm
'selecting the " Acknowledge Alarm " button in the Acknowledge Alarm Request dialog box ',Presentation
'seeing the state of the Alarms in the System database ',Presentation
'changes the Condition of the Alarms ',Alarm
'seeing the Alarms ',Alarm
'assigns the User who acknowledged the Alarms as the owner of the Alarms and will update the database ',Alarm
'update the database ',Alarm
'dismisses the Alarms ',Alarm
'closes ',Server
'removes the Alarms ',Alarm
'seeing the System ',Server
'deletes the Alarms ',Alarm
'selects the Dismiss Alarm Option ',Alarm
'selecting the action icon ',Presentation
'acknowledged the Alarms ',Alarm
'displays hierarchies ( with parent Logical nodes ',Presentation
'owns hierarchies ( with parent Logical nodes ',Server
'expands the first level of the Hierarchy ',Server
'displays the direct children of the expanded Hierarchy ',Presentation
'displays the Hierarchy Description ',Presentation
'displays the Hierarchy name and the Hierarchy Description ',Presentation
'persisted All hierarchies ',Server
'selected a Hierarchy ',Server
'expands a Logical Node in the Hierarchy ',Server
'displays the Logical Node name ',Presentation
'selected a Logical Node ',Server
'displays the direct children of the expanded Logical Node ',Presentation
'read access in the Work Area ',Server
'selects a Field objects from the children of the expanded Node ',Presentation
'verifies the access rights of the User ',Server
'displays the Field objects name and the Field objects properties to which the User has at least read access in the Work Area ',Presentation
'displays the Field ',Presentation
'has the Field objects name and the Field objects properties to which the User has at least read access in the Work Area ',Server
'has the Field ',Server
'collapses a Logical Node in the Hierarchy ',Presentation
'hides all children of the Logical Node ',Server
'collapses a Hierarchy ',Presentation
'hides all children of the Hierarchy ',Presentation
'selects the " Hierarchies " tab on the screen ',Presentation
'displays the " Configure Hierarchies " screen ',Presentation
'selects the " Create Hierarchy " button ',Presentation
'displays the " Create Hierarchy " screen ',Presentation
'enters a Hierarchy name ',Presentation
'tab on the screen ',Presentation
'Create Logical Node ',Server
'Delete Logical Node ',Server
'Delete Rename Logical Node ',Server
'Add Field Object ',Server
